,Longitude,Latitude,Crime,ethnicity,Legislation_simplified,Gender,Age range
0,-0.106707,51.484282,1,White,Drugs,Male,18-24
1,-0.167858,51.519227,1,Not stated,Drugs,Male,18-24
2,-0.167858,51.519227,0,Black,Drugs,Male,Not stated
3,-0.088496,51.506109,0,White,Drugs,Female,18-24
4,-0.245349,51.539044,1,Black,Drugs,Male,18-24
5,,,0,White,Drugs,Male,25-34
6,,,1,Not stated,Drugs,Not stated,Not stated
7,-0.022078,51.447256,0,White,Drugs,Male,18-24
8,-0.247528,51.540129,0,Black,Drugs,Male,Not stated
9,0.043064,51.587154,0,Asian,Criminal Evidence Act,Male,over 34
10,-0.169241,51.514915,0,Not stated,Criminal Evidence Act,Male,18-24
11,-0.132833,51.507569,0,White,Drugs,Male,18-24
12,,,0,Not stated,Drugs,Male,25-34
13,,,1,Not stated,Criminal Evidence Act,Male,18-24
14,0.003845,51.541608,1,Black,Drugs,Male,25-34
15,0.032777,51.51094,0,Black,Criminal Evidence Act,Male,18-24
16,-0.132833,51.507569,0,White,Drugs,Male,18-24
17,-0.102866,51.589936,0,Not stated,Criminal Evidence Act,Male,18-24
18,0.032777,51.51094,0,White,Criminal Evidence Act,Male,18-24
19,0.032777,51.51094,0,Black,Drugs,Male,10-17
20,0.032777,51.51094,0,White,Criminal Evidence Act,Male,18-24
21,-0.132833,51.507569,1,Asian,Drugs,Male,18-24
22,-0.136657,51.508862,0,Not stated,Criminal Evidence Act,Female,over 34
23,0.05232,51.536921,0,Asian,Drugs,Male,18-24
24,-0.121683,51.333473,0,Not stated,Criminal Evidence Act,Male,10-17
25,0.032777,51.51094,0,White,Criminal Evidence Act,Male,10-17
26,-0.121683,51.333473,1,White,Criminal Evidence Act,Male,10-17
27,-0.102866,51.589936,0,Not stated,Criminal Evidence Act,Male,18-24
28,0.016969,51.399954,0,Mixed,Criminal Evidence Act,Male,18-24
29,0.016969,51.399954,0,Black,Criminal Evidence Act,Male,Not stated
30,-0.210115,51.517497,1,Not stated,Criminal Evidence Act,Male,25-34
31,0.013408,51.486418,0,White,Criminal Evidence Act,Male,25-34
32,0.032777,51.51094,0,White,Criminal Evidence Act,Male,18-24
33,0.016969,51.399954,0,Black,Criminal Evidence Act,Male,Not stated
34,-0.210115,51.517497,1,White,Drugs,Male,25-34
35,-0.067693,51.488277,0,Not stated,Criminal Evidence Act,Male,Not stated
36,-0.054755,51.498504,0,Not stated,Criminal Evidence Act,Male,18-24
37,-0.173325,51.384613,1,Not stated,Drugs,Male,25-34
38,-0.210115,51.517497,1,Black,Criminal Evidence Act,Male,10-17
39,-0.109826,51.383363,0,Not stated,Criminal Evidence Act,Male,25-34
40,-0.103496,51.433917,0,Black,Drugs,Male,25-34
41,-0.225117,51.547588,0,Not stated,Criminal Evidence Act,Male,10-17
42,-0.230919,51.503964,0,Not stated,Drugs,Male,over 34
43,-0.230919,51.503964,0,White,Drugs,Female,over 34
44,-0.215815,51.527286,1,White,Drugs,Male,25-34
45,-0.163961,51.425024,1,Not stated,Criminal Evidence Act,Male,25-34
46,-0.163961,51.425024,1,Not stated,Criminal Evidence Act,Male,25-34
47,-0.16534,51.517677,1,Not stated,Drugs,Male,18-24
48,,,0,White,Drugs,Male,18-24
49,,,0,Black,Drugs,Male,over 34
50,-0.101651,51.378096,0,Not stated,Criminal Evidence Act,Male,25-34
51,-0.068988,51.47025,1,Not stated,Criminal Evidence Act,Male,over 34
52,-0.090113,51.378421,1,White,Criminal Evidence Act,Male,over 34
53,-0.090113,51.378421,1,White,Drugs,Male,25-34
54,-0.055528,51.558506,0,Not stated,Criminal Evidence Act,Male,over 34
55,-0.19158,51.500729,0,Asian,Criminal Evidence Act,Male,25-34
56,-0.090113,51.378421,1,Black,Drugs,Male,18-24
57,-0.132444,51.45046,0,Black,Criminal Evidence Act,Male,18-24
58,-0.104167,51.47051,1,Black,Criminal Evidence Act,Male,25-34
59,0.013191,51.543283,0,Black,Criminal Evidence Act,Male,25-34
60,-0.104167,51.47051,0,Not stated,Drugs,Male,25-34
61,-0.132723,51.514132,0,Asian,Drugs,Male,25-34
62,-0.132723,51.514132,0,Asian,Drugs,Male,18-24
63,0.042327,51.457321,0,Not stated,Criminal Evidence Act,Male,25-34
64,-0.017612,51.617267,0,White,Drugs,Male,Not stated
65,-0.12564,51.356135,0,Asian,Drugs,Male,Not stated
66,-0.12564,51.356135,0,Asian,Drugs,Male,25-34
67,-0.132532,51.451118,0,Black,Criminal Evidence Act,Male,18-24
68,-0.12564,51.356135,0,Asian,Drugs,Male,25-34
69,-0.12564,51.356135,0,Not stated,Drugs,Male,Not stated
70,-0.056657,51.546241,0,Asian,Criminal Evidence Act,Male,18-24
71,-0.055415,51.546949,0,Not stated,Criminal Evidence Act,Male,18-24
72,-0.000127,51.607565,1,Other,Drugs,Male,18-24
73,-0.000127,51.607565,1,Not stated,Drugs,Male,18-24
74,-0.134602,51.315469,1,White,Criminal Evidence Act,Male,25-34
75,-0.183586,51.362129,0,White,Criminal Evidence Act,Male,18-24
76,-0.042423,51.398219,0,Not stated,Criminal Evidence Act,Male,over 34
77,,,0,Not stated,Criminal Evidence Act,Male,18-24
78,-0.088573,51.474996,0,Not stated,Drugs,Male,Not stated
79,-0.189822,51.384294,0,White,Criminal Evidence Act,Male,over 34
80,-0.088573,51.474996,0,Not stated,Drugs,Male,18-24
81,-0.193756,51.478506,0,Black,Drugs,Male,18-24
82,-0.055528,51.558506,0,White,Criminal Evidence Act,Female,over 34
83,0.087964,51.540033,0,Black,Drugs,Male,25-34
84,,,0,White,Criminal Evidence Act,Male,over 34
85,-0.207076,51.492838,1,White,Drugs,Male,over 34
86,-0.193414,51.365689,1,Black,Drugs,Male,18-24
87,-0.185267,51.529803,0,White,Criminal Evidence Act,Male,18-24
88,-0.067093,51.395112,0,Black,Drugs,Male,18-24
89,-0.241576,51.532927,0,Black,Criminal Evidence Act,Male,Not stated
90,0.016969,51.399954,0,White,Criminal Evidence Act,Male,over 34
91,-0.234399,51.49444,1,White,Drugs,Male,25-34
92,0.113064,51.349725,0,Asian,Criminal Evidence Act,Male,25-34
93,-0.02169,51.528436,0,Not stated,Drugs,Female,over 34
94,-0.185401,51.461858,0,Not stated,Criminal Evidence Act,Male,over 34
95,-0.111683,51.552769,0,Not stated,Drugs,Male,over 34
96,-0.029437,51.533656,0,Black,Criminal Evidence Act,Male,25-34
97,-0.089285,51.381384,0,White,Drugs,Male,over 34
98,-0.12433,51.445097,0,Not stated,Drugs,Male,Not stated
99,-0.089285,51.381384,0,White,Drugs,Female,over 34
100,-0.089285,51.381384,0,White,Drugs,Male,over 34
101,-0.12433,51.445097,0,Not stated,Drugs,Male,Not stated
102,-0.145107,51.515111,0,White,Criminal Evidence Act,Female,18-24
103,-0.253263,51.560573,1,Black,Drugs,Male,over 34
104,-0.140125,51.544006,0,Asian,Criminal Evidence Act,Male,25-34
105,-0.058769,51.495926,1,Black,Criminal Evidence Act,Male,Not stated
